MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN,SLOT CHANGE,C33-174-L-7668-2760-60,C33-223-L-7668-3504-0,Emp-10,20180826174415,20180826175315,20180826175315
REPLEN,SLAMS DUNK,C38-193-R-8808-3012-12,A4-202-R-732-3156-0,Emp-3,20180826174542,20180826175442,20180826175242
MOVE TO DOOR,REPLEN,A5-28-R-960-864-0,DR-D34,Emp-7,20180826174709,20180826175609,20180826175509
PUTAWAY,SLOT CHANGE,C36-254-R-8352-3900-0,A9-149-L-1872-2460-84,Emp-4,20180826174836,20180826175136,20180826175736
PUTAWAY,SLOT CHANGE,A5-92-L-960-1728-48,C34-190-L-7896-2952-72,Emp-10,20180826175003,20180826175903,20180826175803
MOVE TO DOOR,SLOT CHANGE,C34-219-R-7896-3444-12,DR-D04,Emp-2,20180826175130,20180826175230,20180826175830
MOVE TO DOOR,SLOT CHANGE,A1Y-L-348-0-84,DR-D07,Emp-9,20180826175257,20180826175957,20180826180257
REPLEN,PUTAWAY,A9-216-R-1872-3384-72,C29-168-R-6756-2688-12,Emp-5,20180826175424,20180826175824,20180826180324
RETURNS PUTAWAY,RETURNS PUTAWAY,C31-219-R-7212-3444-60,C28-193-R-6528-3012-72,Emp-3,20180826175551,20180826175951,20180826180451
REPLEN,SLAMS DUNK,C34-243-L-7896-3768-72,B21-191-L-4884-2988-0,Emp-4,20180826175718,20180826180118,20180826180618
REPLEN,PUTAWAY,A8-172-L-1644-2736-0,A8-213-R-1644-3336-48,Emp-3,20180826175845,20180826180745,20180826180745
MOVE TO DOOR,SLAMS DUNK,C35-235-L-8124-3672-0,DR-D301,Emp-3,20180826180012,20180826180112,20180826180612
MOVE TO DOOR,PUTAWAY,B17-191-R-3972-2988-60,DR-D13,Emp-6,20180826180139,20180826180739,20180826180639
REPLEN,PUTAWAY,DR-D305,A9-219-R-1872-3444-48,Emp-2,20180826180306,20180826180506,20180826180906
MOVE TO DOOR,SLAMS DUNK,A6-209-L-1188-3276-0,DR-D05,Emp-7,20180826180433,20180826181333,20180826181033
MOVE TO DOOR,REPLEN,C32-203-L-7440-3168-60,DR-D34,Emp-5,20180826180600,20180826181000,20180826181500
REPLEN,PUTAWAY,A5-84-L-960-1608-48,C28-132-R-6528-2256-72,Emp-7,20180826180727,20180826181127,20180826181327
MOVE TO DOOR,REPLEN,C25-191-L-5844-2988-0,DR-D20,Emp-2,20180826180854,20180826181254,20180826181654
PUTAWAY,REPLEN,A6-213-L-1188-3336-0,C22-160-R-5160-2592-0,Emp-4,20180826181021,20180826181321,20180826181821
MOVE TO DOOR,SLAMS DUNK,B19-231-L-4428-3624-0,DR-D04,Emp-7,20180826181148,20180826182148,20180826181848
REPLEN OVERFLOW,SLOT CHANGE,B15-223-L-3516-3504-0,B15-259-R-3516-3960-0,Emp-4,20180826181315,20180826181715,20180826181915
REPLEN OVERFLOW,PUTAWAY,B21-127-L-4884-2196-60,C38-203-L-8808-3168-72,Emp-2,20180826181442,20180826181542,20180826182242
MOVE TO DOOR,PUTAWAY,C37-151-L-8580-2484-0,DR-D08,Emp-4,20180826181609,20180826182309,20180826182209
PUTAWAY,SLAMS DUNK,C38-203-L-8808-3168-72,C31-219-R-7212-3444-0,Emp-3,20180826181736,20180826182736,20180826182736
MOVE TO DOOR,REPLEN,C31-219-L-7212-3444-0,DR-D306,Emp-3,20180826181903,20180826182603,20180826182803
PUTAWAY,SLOT CHANGE,C34-181-R-7896-2844-72,B17-127-R-3972-2196-60,Emp-9,20180826182030,20180826182930,20180826182630
REPLEN OVERFLOW,SLAMS DUNK,B15-217-R-3516-3396-60,B15-254-L-3516-3900-60,Emp-7,20180826182157,20180826183157,20180826182957
REPLEN OVERFLOW,REPLEN,C2Y-R-8136-1944-0,B2Y-R-5268-1944-60,Emp-3,20180826182324,20180826183324,20180826182924
REPLEN,SLAMS DUNK,C42-199-R-9720-3108-60,A9-195-L-1872-3048-0,Emp-9,20180826182451,20180826183451,20180826183151
REPLEN,PUTAWAY,C35-151-R-8124-2484-60,A2-117-L-276-2052-0,Emp-10,20180826182618,20180826183218,20180826183618
REPLEN,SLAMS DUNK,A3-105-R-504-1896-60,A6-115-R-1188-2028-0,Emp-7,20180826182745,20180826183745,20180826183645
REPLEN OVERFLOW,SLOT CHANGE,B16-181-L-3744-2844-96,B16-209-R-3744-3276-96,Emp-4,20180826182912,20180826183512,20180826183612
REPLEN,REPLEN,B18-235-R-4200-3672-36,C28-256-R-6528-3924-72,Emp-2,20180826183039,20180826183639,20180826183639
PUTAWAY,SLOT CHANGE,B12-170-L-2832-2712-0,C2Y-R-5796-1944-60,Emp-3,20180826183206,20180826184006,20180826184206
PUTAWAY,SLOT CHANGE,A4-49-L-732-1140-60,C25-223-L-5844-3504-0,Emp-1,20180826183333,20180826183533,20180826184133
REPLEN,SLOT CHANGE,C39-132-L-9036-2256-72,C39-190-L-9036-2952-12,Emp-9,20180826183500,20180826184500,20180826184000
MOVE TO DOOR,REPLEN,C39-186-R-9036-2904-72,DR-D27,Emp-2,20180826183627,20180826184427,20180826184627
MOVE TO DOOR,PUTAWAY,C31-219-R-7212-3444-0,DR-D33,Emp-6,20180826183754,20180826184554,20180826184554
REPLEN OVERFLOW,SLAMS DUNK,A1Y-L-972-0-0,B21-235-R-4884-3672-0,Emp-8,20180826183921,20180826184121,20180826184821
PUTAWAY,REPLEN,A2-17-L-276-684-60,B13-222-L-3060-3492-0,Emp-4,20180826184048,20180826184548,20180826184748
MOVE TO DOOR,SLOT CHANGE,C26-184-R-6072-2880-0,DR-D309,Emp-5,20180826184215,20180826184715,20180826184715
MOVE TO DOOR,SLAMS DUNK,B18-231-L-4200-3624-60,DR-D31,Emp-10,20180826184342,20180826184942,20180826185242
PUTAWAY,REPLEN,A8-219-R-1644-3444-48,B16-181-R-3744-2844-96,Emp-10,20180826184509,20180826184609,20180826185409
REPLEN OVERFLOW,PUTAWAY,B12-220-R-2832-3456-84,B13-140-R-3060-2352-108,Emp-4,20180826184636,20180826185536,20180826185236
REPLEN,PUTAWAY,A6-161-R-1188-2604-0,A2-216-R-276-3384-48,Emp-6,20180826184803,20180826185003,20180826185603
REPLEN,REPLEN,C42-179-R-9720-2820-60,C34-193-L-7896-3012-72,Emp-10,20180826184930,20180826185730,20180826185830
PUTAWAY,SLAMS DUNK,A11-43-R-2328-1068-48,A2-27-L-276-852-0,Emp-10,20180826185057,20180826185657,20180826185857
PUTAWAY,SLOT CHANGE,A1-126-R-48-2184-60,C37-179-R-8580-2820-60,Emp-5,20180826185224,20180826185524,20180826190224
MOVE TO DOOR,SLOT CHANGE,B16-196-R-3744-3060-96,DR-D16,Emp-10,20180826185351,20180826185651,20180826190251
REPLEN,REPLEN,B12-170-R-2832-2712-0,B12-231-R-2832-3624-0,Emp-5,20180826185518,20180826185618,20180826190218
REPLEN,PUTAWAY,A9-59-R-1872-1284-0,A6-3-L-1188-360-0,Emp-2,20180826185645,20180826185745,20180826190445
REPLEN OVERFLOW,SLAMS DUNK,A1-88-R-48-1668-60,B17-219-R-3972-3444-0,Emp-10,20180826185812,20180826190412,20180826190512
MOVE TO DOOR,PUTAWAY,B12-246-L-2832-3804-84,DR-D34,Emp-2,20180826185939,20180826190439,20180826190739
PUTAWAY,REPLEN,B15-203-L-3516-3168-60,B14-170-R-3288-2712-0,Emp-7,20180826190106,20180826191006,20180826191106
MOVE TO DOOR,SLOT CHANGE,B18-227-L-4200-3564-60,DR-D05,Emp-4,20180826190233,20180826190733,20180826190933
MOVE TO DOOR,SLAMS DUNK,C31-235-L-7212-3672-60,DR-D26,Emp-4,20180826190400,20180826191300,20180826191000
REPLEN,SLOT CHANGE,B18-254-L-4200-3900-60,C31-235-L-7212-3672-0,Emp-4,20180826190527,20180826191227,20180826191227
PUTAWAY,REPLEN,C30-219-L-6984-3444-0,A1-101-L-48-1836-60,Emp-6,20180826190654,20180826190854,20180826191354
MOVE TO DOOR,REPLEN,C35-213-R-8124-3336-60,DR-D23,Emp-3,20180826190821,20180826191621,20180826191321
REPLEN OVERFLOW,SLAMS DUNK,A2-195-L-276-3048-0,A4-44-L-732-1080-60,Emp-7,20180826190948,20180826191648,20180826191648
REPLEN,SLOT CHANGE,B14-254-R-3288-3900-84,C27-174-R-6300-2760-0,Emp-2,20180826191115,20180826192115,20180826192015
PUTAWAY,PUTAWAY,C25-213-R-5844-3336-0,B17-250-L-3972-3852-0,Emp-2,20180826191242,20180826191942,20180826191942
REPLEN,PUTAWAY,C2Y-R-7512-1944-0,C24-151-L-5616-2484-0,Emp-9,20180826191409,20180826192109,20180826192309
RETURNS PUTAWAY,RETURNS PUTAWAY,C27-206-L-6300-3216-0,C27-245-R-6300-3792-36,Emp-7,20180826191536,20180826192236,20180826192136
PUTAWAY,REPLEN,C29-177-R-6756-2796-12,A4-40-L-732-1020-60,Emp-9,20180826191703,20180826191903,20180826192503
PUTAWAY,SLAMS DUNK,C40-186-R-9264-2904-12,A1-187-R-48-2916-0,Emp-10,20180826191830,20180826192330,20180826192530
REPLEN OVERFLOW,SLAMS DUNK,B21-240-R-4884-3732-60,C34-145-R-7896-2412-72,Emp-6,20180826191957,20180826192457,20180826192457
REPLEN OVERFLOW,REPLEN,A9-161-R-1872-2604-0,C23-250-R-5364-3852-0,Emp-5,20180826192124,20180826192924,20180826192924
REPLEN OVERFLOW,REPLEN,A10-138-R-2100-2328-84,A9-6-R-1872-468-48,Emp-6,20180826192251,20180826193151,20180826192951
REPLEN OVERFLOW,PUTAWAY,C31-203-L-7212-3168-0,A8-10-L-1644-564-36,Emp-10,20180826192418,20180826192718,20180826193418
REPLEN,SLAMS DUNK,A1-213-R-48-3336-72,B14-195-R-3288-3048-84,Emp-10,20180826192545,20180826193045,20180826193545
REPLEN,REPLEN,A6-151-R-1188-2484-60,B16-159-L-3744-2580-96,Emp-9,20180826192712,20180826193412,20180826193512
REPLEN OVERFLOW,REPLEN,A11-124-R-2328-2148-48,B16-177-R-3744-2796-12,Emp-4,20180826192839,20180826193439,20180826193339
MOVE TO DOOR,PUTAWAY,B21-227-R-4884-3564-0,DR-D23,Emp-7,20180826193006,20180826193306,20180826194006
REPLEN,SLOT CHANGE,C25-170-L-5844-2712-0,C33-141-L-7668-2364-60,Emp-9,20180826193133,20180826193733,20180826194033
REPLEN,PUTAWAY,C32-219-L-7440-3444-60,A11-82-R-2328-1584-48,Emp-1,20180826193300,20180826193900,20180826194100
PUTAWAY,PUTAWAY,A1-4-L-48-408-60,A5-96-R-960-1776-60,Emp-2,20180826193427,20180826193827,20180826194127
MOVE TO DOOR,PUTAWAY,B13-253-R-3060-3888-36,DR-D303,Emp-10,20180826193554,20180826194454,20180826194354
PUTAWAY,SLOT CHANGE,C33-209-R-7668-3276-60,A1-3-L-48-360-60,Emp-3,20180826193721,20180826193821,20180826194521
RETURNS PUTAWAY,RETURNS PUTAWAY,B2Y-R-4992-1944-60,B16-207-R-3744-3228-12,Emp-6,20180826193848,20180826194648,20180826194448
MOVE TO DOOR,SLAMS DUNK,A1-113-R-48-2004-60,DR-D14,Emp-10,20180826194015,20180826194315,20180826194915
PUTAWAY,REPLEN,B12-251-R-2832-3864-84,B13-151-R-3060-2484-96,Emp-4,20180826194142,20180826195042,20180826195042
REPLEN OVERFLOW,REPLEN,C28-247-R-6528-3816-12,C29-163-L-6756-2628-72,Emp-7,20180826194309,20180826194509,20180826195109
REPLEN OVERFLOW,PUTAWAY,A11-49-R-2328-1140-0,A2-3-L-276-360-60,Emp-10,20180826194436,20180826194936,20180826195036
MOVE TO DOOR,SLAMS DUNK,A1-159-R-48-2580-0,DR-D28,Emp-8,20180826194603,20180826195403,20180826195203
PUTAWAY,REPLEN,C34-247-R-7896-3816-72,A2-209-R-276-3276-84,Emp-10,20180826194730,20180826195330,20180826195530
REPLEN,PUTAWAY,A9-199-R-1872-3108-84,B17-174-L-3972-2760-0,Emp-7,20180826194857,20180826195057,20180826195357
REPLEN OVERFLOW,SLOT CHANGE,C28-219-L-6528-3444-72,A3-33-L-504-924-60,Emp-10,20180826195024,20180826195224,20180826200024
REPLEN,PUTAWAY,A10-167-R-2100-2676-0,A3-41-L-504-1044-60,Emp-2,20180826195151,20180826195451,20180826195651
