MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN,REPLEN,C21-1103,C21-100A,S938,20180722095601,20180722095601,20180722095601
REPLEN OVERFLOW,REPLEN,C21-100A,C21-10012,S938,20180722095636,20180722095636,20180722095636
REPLEN,REPLEN,C21-1454,C21-135A,S938,20180722100012,20180722100012,20180722100012
REPLEN,REPLEN,C18-2103,C21-135B,S938,20180722100325,20180722100325,20180722100325
REPLEN OVERFLOW,REPLEN,C21-135B,C21-10511,S938,20180722100347,20180722100347,20180722100347
REPLEN,REPLEN,C21-1205,C21-120A,S938,20180722100624,20180722100624,20180722100624
REPLEN OVERFLOW,REPLEN,C21-120A,C21-12012,S938,20180722100702,20180722100702,20180722100702
REPLEN,REPLEN,C21-3404,C21-130A,S938,20180722100946,20180722100946,20180722100946
REPLEN OVERFLOW,REPLEN,C21-130A,C21-12512,S938,20180722101014,20180722101014,20180722101014
REPLEN,REPLEN,A05-44011,A04-475C7,B6580,20180722101057,20180722101057,20180722101057
REPLEN OVERFLOW,REPLEN,A04-475C7,A05-46011,B6580,20180722101115,20180722101115,20180722101115
REPLEN,REPLEN,A06-4505,A06-420C4,B6580,20180722101341,20180722101341,20180722101341
REPLEN,REPLEN,C21-4204,C21-170A,S938,20180722101400,20180722101400,20180722101400
REPLEN OVERFLOW,REPLEN,A06-420C4,A06-4505,B6580,20180722101415,20180722101415,20180722101415
REPLEN OVERFLOW,REPLEN,C21-170A,C21-10512,S938,20180722101425,20180722101425,20180722101425
REPLEN,REPLEN,B90-3553,C90-255A,J7124,20180722101534,20180722101534,20180722101534
REPLEN,REPLEN,C21-34512,C21-320A,S938,20180722101555,20180722101555,20180722101555
REPLEN,REPLEN,A07-1052,A08-110C7,B6580,20180722101626,20180722101626,20180722101626
REPLEN OVERFLOW,REPLEN,A08-110C7,A07-1052,B6580,20180722101650,20180722101650,20180722101650
REPLEN,REPLEN,A13-1953,A13-255B,H3276,20180722101734,20180722101734,20180722101734
REPLEN OVERFLOW,REPLEN,A13-255B,A13-1953,H3276,20180722101803,20180722101803,20180722101803
REPLEN,REPLEN,C21-3003,C21-270A,S938,20180722101847,20180722101847,20180722101847
REPLEN,REPLEN,A10-1403,A10-300A,B6580,20180722101908,20180722101908,20180722101908
REPLEN,REPLEN,B01-1805,B01-125A,D5702,20180722101919,20180722101919,20180722101919
REPLEN OVERFLOW,REPLEN,B01-125A,B01-1805,D5702,20180722101941,20180722101941,20180722101941
REPLEN,REPLEN,C21-30512,C21-270B,S938,20180722102057,20180722102057,20180722102057
REPLEN,REPLEN,A20-1701,A18-280A,H3276,20180722102116,20180722102116,20180722102116
REPLEN OVERFLOW,REPLEN,C21-270B,C21-27012,S938,20180722102118,20180722102118,20180722102118
REPLEN,REPLEN,A10-5203,A10-505A,B6580,20180722102147,20180722102147,20180722102147
REPLEN,REPLEN,B02-4101,B02-410A,T6724,20180722102244,20180722102244,20180722102244
REPLEN,REPLEN,A20-2001,A18-280A,H3276,20180722102334,20180722102334,20180722102334
REPLEN,REPLEN,C04-2752,C04-165B,J7124,20180722102340,20180722102340,20180722102340
REPLEN,REPLEN,C18-3251,C21-355B,S938,20180722102429,20180722102429,20180722102429
REPLEN,REPLEN,A01-3254,A01-110B,B6580,20180722102443,20180722102443,20180722102443
