MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN OVERFLOW,REPLEN,B13-182-R-3060-2856-72,A2-206-L-276-3216-0,Emp-5,20180826174411,20180826174611,20180826174911
PUTAWAY,SLAMS DUNK,A1-75-L-48-1500-60,B13-153-R-3060-2508-96,Emp-9,20180826174538,20180826174938,20180826175438
REPLEN OVERFLOW,SLAMS DUNK,B14-203-R-3288-3168-84,B14-235-R-3288-3672-0,Emp-10,20180826174705,20180826175005,20180826175305
REPLEN OVERFLOW,SLOT CHANGE,B14-203-L-3288-3168-84,A3-209-R-504-3276-84,Emp-10,20180826174832,20180826175332,20180826175732
RETURNS PUTAWAY,RETURNS PUTAWAY,A4-39-R-732-1008-60,B13-158-R-3060-2568-108,Emp-2,20180826174959,20180826175059,20180826175759
PUTAWAY,SLOT CHANGE,A2-216-R-276-3384-48,B19-199-L-4428-3108-0,Emp-5,20180826175126,20180826180026,20180826175826
MOVE TO DOOR,PUTAWAY,B13-234-L-3060-3660-0,DR-D23,Emp-7,20180826175253,20180826175453,20180826175753
MOVE TO DOOR,PUTAWAY,B13-253-R-3060-3888-12,DR-D1,Emp-3,20180826175420,20180826180320,20180826180220
REPLEN OVERFLOW,PUTAWAY,B13-148-R-3060-2448-60,C23-213-R-5364-3336-0,Emp-10,20180826175547,20180826175747,20180826180547
MOVE TO DOOR,PUTAWAY,A4-161-R-732-2604-60,DR-D6,Emp-5,20180826175714,20180826180614,20180826180314
REPLEN OVERFLOW,REPLEN,A1-58-L-48-1272-60,A8-32-R-1644-912-60,Emp-10,20180826175841,20180826180741,20180826180841
RETURNS PUTAWAY,RETURNS PUTAWAY,B17-165-R-3972-2652-60,A3-96-L-504-1776-0,Emp-8,20180826180008,20180826180508,20180826180508
REPLEN,SLOT CHANGE,C24-240-R-5616-3732-0,A1Y-L-1992-0-84,Emp-3,20180826180135,20180826181035,20180826181135
PUTAWAY,SLAMS DUNK,A8-10-R-1644-564-60,B18-219-R-4200-3444-60,Emp-5,20180826180302,20180826180502,20180826181102
PUTAWAY,SLOT CHANGE,A7-3-R-1416-360-60,A6-93-L-1188-1740-60,Emp-5,20180826180429,20180826181229,20180826180929
MOVE TO DOOR,SLAMS DUNK,B12-260-R-2832-3972-84,DR-D7,Emp-10,20180826180556,20180826181556,20180826181256
MOVE TO DOOR,SLAMS DUNK,A8-44-R-1644-1080-0,DR-D15,Emp-4,20180826180723,20180826181623,20180826181523
PUTAWAY,SLOT CHANGE,A5-209-L-960-3276-36,B18-132-L-4200-2256-84,Emp-10,20180826180850,20180826181150,20180826181450
PUTAWAY,SLOT CHANGE,B18-231-R-4200-3624-60,B21-245-R-4884-3792-36,Emp-5,20180826181017,20180826181617,20180826181917
MOVE TO DOOR,REPLEN,B2Y-R-4992-1944-0,DR-D5,Emp-4,20180826181144,20180826181244,20180826181744
REPLEN OVERFLOW,PUTAWAY,A8-117-R-1644-2052-0,A11-122-L-2328-2124-0,Emp-1,20180826181311,20180826181511,20180826182111
MOVE TO DOOR,PUTAWAY,B16-127-R-3744-2196-96,DR-D15,Emp-7,20180826181438,20180826182238,20180826182138
PUTAWAY,PUTAWAY,A5-50-L-960-1152-0,A5-79-R-960-1548-60,Emp-1,20180826181605,20180826182505,20180826182505
REPLEN,SLAMS DUNK,B19-227-L-4428-3564-0,C23-189-R-5364-2940-0,Emp-7,20180826181732,20180826182232,20180826182232
REPLEN,SLOT CHANGE,B12-133-L-2832-2268-84,B2Y-R-5100-1944-0,Emp-2,20180826181859,20180826181959,20180826182759
