MOVE_TYPE,MOVE_TYPE_DETAIL,FROM_LOCATION,TO_LOCATION,EMP_ID,START_TIME,END_TIME,GOAL
REPLEN,REPLEN,A6-110-R-1188-1968-60,A4-117-L-732-2052-60,Emp-8,20180826174408,20180826175208,20180826175008
REPLEN,PUTAWAY,A3-24-R-504-816-0,A5-213-R-960-3336-72,Emp-9,20180826174535,20180826175435,20180826175135
PUTAWAY,SLOT CHANGE,A10-157-R-2100-2556-0,A3-118-L-504-2064-60,Emp-3,20180826174702,20180826175002,20180826175202
MOVE TO DOOR,REPLEN,A10-45-L-2100-1092-0,DR-001,Emp-9,20180826174829,20180826174929,20180826175429
REPLEN,REPLEN,A4-4-R-732-408-0,A9-88-L-1872-1668-0,Emp-9,20180826174956,20180826175956,20180826175856
MOVE TO DOOR,SLOT CHANGE,A9-195-R-1872-3048-0,DR-001,Emp-1,20180826175123,20180826175323,20180826180023
MOVE TO DOOR,SLOT CHANGE,A4-4-R-732-408-60,DR-001,Emp-9,20180826175250,20180826180050,20180826175950
REPLEN OVERFLOW,PUTAWAY,A10-172-R-2100-2736-84,A8-49-R-1644-1140-60,Emp-4,20180826175417,20180826175917,20180826180317
MOVE TO DOOR,PUTAWAY,A2-1-L-276-300-60,DR-001,Emp-8,20180826175544,20180826175644,20180826180544
REPLEN,SLOT CHANGE,A1Y-L-2052-0-60,A1Y-L-2400-0-0,Emp-10,20180826175711,20180826180111,20180826180611
REPLEN,SLAMS DUNK,A10-164-L-2100-2640-84,A7-160-R-1416-2592-60,Emp-10,20180826175838,20180826180838,20180826180838
MOVE TO DOOR,PUTAWAY,A7-1-L-1416-300-0,DR-001,Emp-10,20180826180005,20180826180405,20180826180605
REPLEN,SLAMS DUNK,A5-58-R-960-1272-0,A2-100-L-276-1824-0,Emp-4,20180826180132,20180826180232,20180826180932
MOVE TO DOOR,PUTAWAY,A8-153-L-1644-2508-36,DR-001,Emp-5,20180826180259,20180826180659,20180826181159
REPLEN OVERFLOW,SLOT CHANGE,A9-105-L-1872-1896-84,A1Y-L-852-0-0,Emp-2,20180826180426,20180826181226,20180826181026
REPLEN,PUTAWAY,A8-162-R-1644-2616-0,A5-149-L-960-2460-48,Emp-7,20180826180553,20180826181453,20180826181453
REPLEN,REPLEN,A1-45-L-48-1092-0,A9-202-R-1872-3156-48,Emp-7,20180826180720,20180826181120,20180826181420
MOVE TO DOOR,REPLEN,A7-72-R-1416-1452-60,DR-001,Emp-6,20180826180847,20180826181747,20180826181647
REPLEN,SLOT CHANGE,A9-93-R-1872-1740-0,A5-118-L-960-2064-0,Emp-10,20180826181014,20180826181214,20180826181814
REPLEN OVERFLOW,PUTAWAY,A8-129-L-1644-2220-36,A1-219-R-48-3444-72,Emp-8,20180826181141,20180826181741,20180826181841
